Name,sample_size,power
"Midpoint of brightest 10 hours (M10, hh:mm)",46,1
"Midpoint of brightest 10 hours (M10, hh:mm)",47,1
"Midpoint of brightest 10 hours (M10, hh:mm)",48,1
"Midpoint of brightest 10 hours (M10, hh:mm)",49,1
"Midpoint of brightest 10 hours (M10, hh:mm)",50,1
"Midpoint of darkest 5 hours (L5, hh:mm)",3,0.5
"Midpoint of darkest 5 hours (L5, hh:mm)",4,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",5,0.5
"Midpoint of darkest 5 hours (L5, hh:mm)",6,0
"Midpoint of darkest 5 hours (L5, hh:mm)",7,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",8,0.4
"Midpoint of darkest 5 hours (L5, hh:mm)",9,0.6
"Midpoint of darkest 5 hours (L5, hh:mm)",10,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",11,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",12,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",13,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",14,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",15,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",16,0.5
"Midpoint of darkest 5 hours (L5, hh:mm)",17,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",18,0.4
"Midpoint of darkest 5 hours (L5, hh:mm)",19,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",20,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",21,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",22,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",23,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",24,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",25,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",26,0.5
"Midpoint of darkest 5 hours (L5, hh:mm)",27,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",28,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",29,0.4
"Midpoint of darkest 5 hours (L5, hh:mm)",30,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",31,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",32,0.1
